#Encoding: UTF-8
#Ecu CALID: 00000F59596406
#Ecu PRGID: 00000D07596401
#VIN: WBAFU7C53BC875778
Time,Amb pressure (PSI),Accel Ped. Pos. (%),Battery volt. (V),Boost (PSI),Boost (mani) (PSI),Boost target (PSI),Coolant (*F),EGT hinter Hauptkat aus Modell (*F),EGT nach KAT aus Modell (*F),Gear (-),IAT (*F),Lambda bank 1 (AFR),Lambda target (AFR),Load act. (%),Load req. (%),LTFT 1 (%),MAF (g/s),Oil pressure (PSI),Oil temp (*F),Rail pressure mean (PSI),Rail pressure req. (PSI),RPM (rpm),Speed (mph),STFT 1 (%),Throttle Pos. Req (*),Throttle Position (*),Timing Cyl. 1,Timing Cyl. 2 (*),Timing Cyl. 3 (*),Timing Cyl. 4 (*),Timing Cyl. 5 (*),Timing Cyl. 6 (*),Torque act. clutch (Nm),Transmission temp (*F),VANOS EX act. (*),VANOS EX req. (*),VANOS IN act. (*),VANOS IN req. (*),WGDC (%),Antilag Active (-),Boost (mani) RAM (PSI),Boost deviation gradient (D factor) (PSI),Boost deviation RAM (PSI),Boost target RAM (PSI),Brap Active (-),Compressor base (kW),Current Map (-),Cyl1 Timing Cor (*),Cyl2 Timing Cor (*),Cyl3 Timing Cor (*),Cyl4 Timing Cor (*),Cyl5 Timing Cor (*),Cyl6 Timing Cor (*),EGT Pre-turbo (*F),Fuel Interpolation (-),Fuel mass flow rate (g/s),Fuel Mode (-),Fuel Scalar Interpolation (-),Knock Interpolation (-),Load actual RAM,Load Interpolation (-),MAF REQ (P corr.) (g/s),MHD+ WGDC Base (%),MHD+ WGDC D-Factor (%),MHD+ WGDC P-Factor (%),Torque lim. 1 (-),Torque lim. 2 (-),Torque lim. 3 (-),Turbine D-factor (kW),Turbine I-factor (kW),Turbine P-factor (kW),WG position target (-),MHD 5.26 00000D07596401 WesamJab_WBAFU7C53BC875778_v22.mhd
120.891,14.8,0,14.79,0.9,-0.7,0,199,1209,1202,3,97,140.89,102.4,11.2,12.1,0.87,9.5,48.25,219,1028.4,1016.7,2469,29,0,6.5,6.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-38,178,10,11,-25.3,-25.6,41.8,0,-0.7,0,-0.79,0,0,0.2,1,0,0,0,0,0,0,999.7,0,9.8,2,0,0,12,0,10.27,41.05,-0.25,-2.06,0,0,0,0,0,-0.2,98,0
121.001,14.8,0,14.79,0.9,-0.7,0,199,1209,1202,3,97,140.89,114.69,12,12.1,0.87,9.5,48.09,219,1027.3,1016.7,2458,29,0,6.5,6.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-38,178,10.7,11,-25.5,-24.8,41.7,0,-0.7,0,-0.78,0,0,0.2,1,0,0,0,0,0,0,993.7,0,9.8,2,0,0,12,0,10.22,40.8,-0.25,-2.04,0,0,0,0,0,-0.19,98,0
121.153,14.8,0,14.8,0.8,-0.7,0,199,1209,1202,3,97,145.9,128.38,12,12,0.89,9.5,48.05,219,1025.2,1016.7,2440,29,0,6.5,6.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-38,178,11.2,11,-24.9,-24.8,41.3,0,-0.7,0.01,-0.7,0,0,0.2,1,0,0,0,0,0,0,987.8,0,9.8,2,0,0,12.1,0,10.13,40.17,-0.21,-1.58,0,0,0,0,0,-0.18,98,0
121.269,14.8,0,14.8,0.8,-0.7,0,199,1209,1202,3,97,156.75,146.14,12,12,0.91,9.5,47.96,219,1026.8,1016.7,2422,29,0,6.6,6.6,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-38,178,11.2,11,-25.8,-25.6,41.2,0,-0.7,0,-0.69,0,0,0.2,1,0,0,0,0,0,0,987.8,0,9.8,2,0,0,12.1,0,10.09,39.89,-0.2,-1.5,0,0,0,0,0,-0.18,98,0
121.373,14.8,0,14.8,0.7,-0.7,0,199,1209,1202,3,97,169.92,158.45,12,12,0.92,9.4,47.79,219,1029,1016.7,2410,29,0,6.6,6.7,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-38,178,10.2,11,-26,-25.6,41.3,0,-0.7,-0.01,-0.67,0,0,0.2,1,0,0,0,0,0,0,982.2,0,9.7,2,0,0,12.1,0,10.01,39.49,-0.19,-1.43,0,0,0,0,0,-0.17,98,0
121.504,14.8,0,14.79,0.7,-0.8,0,199,1209,1202,3,97,171.55,171.05,12,12,0.93,9.4,47.62,219,1026.5,1016.7,2402,29,0,6.7,6.6,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-38,178,10.4,11,-26,-25.6,40.9,0,-0.8,0,-0.63,0,0,0.2,1,0,0,0,0,0,0,982.2,0,9.7,2,0,0,12.1,0,9.94,39.09,-0.16,-1.22,0,0,0,0,0,-0.17,98,0
121.619,14.8,0,14.8,0.7,-0.8,0,199,1209,1202,3,97,178.08,181.9,12,12,0.95,9.3,47.53,219,1024.1,1016.7,2382,29,0,6.7,6.7,-6,-6,-6,-6,-6,-6,-38,178,11.5,11,-26,-25.6,40.6,0,-0.8,0,-0.63,0,0,0.2,1,0,0,0,0,0,0,976.8,0,9.7,2,0,0,12.2,0,9.9,38.84,-0.16,-1.2,0,0,0,0,0,-0.17,98,0
121.741,14.8,0,14.8,0.7,-0.8,0,199,1209,1202,3,97,186.24,190.54,12,12,0.98,9.3,47.4,219,1023,1016.7,2364,29,0,6.7,6.7,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-38,178,10.2,11,-26.3,-25.6,40.2,0,-0.8,0,-0.63,0,0,0.2,1,0,0,0,0,0,0,971.6,0,9.7,2,0,0,12.3,0,9.82,38.43,-0.16,-1.18,0,0,0,0,0,-0.17,98,0
121.853,14.8,0,14.79,0.7,-0.8,0,199,1207,1202,3,97,179.71,199.37,12,12,1,9.2,47.33,219,1020.3,1016.7,2350,28,0,6.7,6.7,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-38,178,10.3,11,-25.6,-25.6,39.9,0,-0.8,0,-0.61,0,0,0.2,1,0,0,0,0,0,0,971.6,0,9.4,2,0,0,12,0,9.73,37.95,-0.15,-1.1,0,0,0,0,0,-0.16,98,0
121.967,14.8,0,14.79,0.7,-0.8,0,199,1207,1202,3,97,191.13,206.2,11.2,12,1.03,9,47.24,219,1022.4,1016.7,2339,28,0,6.7,6.7,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-38,178,11.7,11,-25.5,-25.6,39.8,0,-0.8,0,-0.59,0,0,0.2,1,0,0,0,0,0,0,966.4,0,9.4,2,0,0,12,0,9.7,37.75,-0.14,-1,0,0,0,0,0,-0.16,98,0
122.117,14.8,0.8,14.8,0.7,-0.8,0,199,1207,1202,3,99,202.56,212.01,12,12,1.06,9,47.15,219,1020.8,1016.7,2322,28,0,6.7,6.7,-7,-7,-7,-7,-7,-7,-38,178,11.1,11,-25.7,-25.6,39.4,0,-0.8,0,-0.58,0,0,0.2,1,0,0,0,0,0,0,966.4,0,9.4,2,0,0,12,0,9.63,37.35,-0.13,-0.94,0,0,0,0,0,-0.16,98,0
122.234,14.8,10.6,14.8,0.7,-0.8,0,199,1207,1202,3,99,207.45,217.37,11.2,12,1.1,8.9,47.05,219,988.1,1016.7,2317,27,0,6.8,6.7,1.5,1.5,1.5,1.5,1.5,1.5,-32,178,11,7.4,-25.4,-24.8,39,0,-0.7,0,-0.58,0,0,0.2,1,0,0,0,0,0,0,980.6,0,9.4,2,0,0,11.8,0,9.62,37.78,-0.13,-0.94,0,0,0,0,0,-0.16,98,0
122.365,14.8,17.3,14.8,0.7,-0.7,0,199,1207,1202,3,99,186.24,221.36,11.2,12,1.05,8.8,47.04,219,994.6,1016.7,2320,27,0,6.8,6.8,33,33,33,33,33,33,-4,178,5.5,2.2,-23.9,-24.8,39.5,0,-0.7,0,-0.57,0,0,0.2,1,0,0,0,0,0,0,989.8,0,10.5,2,0,0,13.3,0,10.88,37.27,-0.13,-0.91,0,0,0,0,0,-0.16,98,0
122.516,14.8,20.8,14.8,0.6,-0.7,0,199,1207,1202,3,99,88.15,199.37,14.2,15.4,1.13,11.1,47.08,219,1006.8,1016.6,2297,27,0,8.8,8.7,32.5,32.5,32.5,32.5,32.5,32.5,10,178,1.7,3,-25.5,-34.7,39,0,-0.8,0.01,-0.51,0,0,0.2,1,0,0,0,0,0,0,989.8,0,15.7,2,0,0,20.4,0,16.02,37.3,-0.08,-0.59,0,0,0,0,0,-0.14,82.4,0
122.657,14.8,26.3,14.79,0.6,-0.8,0,199,1207,1202,3,99,35.25,49.8,21.8,22.2,1.04,16.5,46.43,219,991,1016.2,2335,27,0,11.8,11.4,27.9,27.9,27.9,27.9,27.9,27.9,42,178,13.4,19.2,-44.2,-48,40.3,0,-0.7,0.01,-0.46,0,0,0.2,1,0,0,0,0,0,0,993.9,0,21.1,2,0,0,25.4,0,22.46,36.34,-0.05,-0.51,0,0,0,0,0,-0.14,75.6,0
122.785,14.8,26.3,14.79,0.5,-0.6,0,199,1207,1202,3,99,19.81,26.93,30,31.9,1.13,22.3,52.05,219,1012.4,1173.1,2302,27,0,15.8,15.8,24,24,24,24,24,24,66,178,27.6,29.4,-48.6,-52.8,39.2,0,-0.6,0,-0.43,0,0,0.2,1,0,0,0,0,0,0,1002.6,0,29,2,0,0,35.6,0,29.51,37.9,-0.03,-0.47,0,0,0,0,0,-0.14,54.2,0
122.969,14.8,26.7,14.78,0.6,-0.6,0,199,1209,1202,3,99,16.96,19.76,39,39.4,1.14,29.8,56.88,219,1091.5,1388.7,2296,27,0,18.7,19,23.5,23.5,23.5,23.5,23.5,23.5,107,178,30.9,28.6,-52.5,-55.2,39.5,0,-0.4,-0.02,-0.54,0,0,0.3,1,0,0,0,0,0,0,1015,0,42.6,2,0,0,42.5,0,36.75,38.1,-0.11,-0.73,0,0,0,-0.04,0,-0.16,37.9,0
123.088,14.8,33.3,14.76,0.7,-0.1,0.2,199,1211,1211,3,99,16.98,16.48,44.2,50.8,1.09,33.6,60.12,219,1460.8,1733.3,2327,28,0,25.8,24.3,21,21,21,21,21,21,128,178,28.4,25.4,-56.6,-57.6,39,0,0.2,0.04,-0.4,0.3,0,0.3,1,0,0,0,0,0,0,1015,0,52.1,2,0,0,49.8,0,49.13,20.5,-0.02,-0.44,0,0,0,0.04,0,-0.15,21.8,0
123.233,14.8,47.1,14.76,0.9,0.7,2.7,199,1213,1211,3,97,17.26,15.45,58.5,73,1.02,45.2,63.48,219,1744.2,2109.4,2388,28,0.4,56.1,54.5,16,16,16,16,16,16,172,178,24.3,17.4,-54.5,-51.2,36.7,0,1.1,0.94,6.55,7.8,0,1.5,1,0,0,0,0,0,0,1028.1,0,74.6,20,0,0,74.4,0,96.88,28.19,0,5.74,0,0,0,1.8,0,6.05,99,0
123.352,14.8,98.4,14.74,1.8,1.5,18.5,199,1213,1211,3,97,16.03,14.85,82.5,239.9,0.97,64.6,66.57,219,2454.7,2422,2472,29,0.7,100,98.7,0.4,0.4,0.4,0.4,0.4,0.4,210,178,8.3,8.6,-34.8,-35.2,48.9,0,2.1,-0.21,16.34,18.5,0,7.1,1,0,0,0,0,0,0,1049.7,0,83.6,20,0,0,85.6,0,193.63,38.05,0,7.27,0,0,0,0,0,5.51,86,0
123.546,14.8,100,14.73,3.1,2.7,18.5,199,1213,1211,3,97,15.37,14.74,88.5,239.9,1.08,69.1,71.69,219,2705.7,2457.6,2411,29,0.9,100,100.5,0,0,0,0,0,0,246,178,16.2,19.2,-34.7,-36.8,47.8,0,4.1,-0.21,14.25,18.5,0,10.7,1,0,0,0,0,0,0,1079.2,0,84.1,20,0,0,96.8,0,197.18,39.13,0,7.08,0,0,0,0,0,5.63,88,0
123.656,14.8,95.7,14.75,5.3,5,18.5,199,1213,1211,3,97,14.42,14.62,102.8,231.1,0.96,83,74.56,219,2658,2464.9,2505,30,0.9,100,100,0.5,0.5,0.5,0.5,0.5,0.5,306,178,28.4,25.4,-34.9,-34.4,49.6,0,5.5,-0.22,12.91,18.5,0,10.9,1,0,0,0,0,0,0,1079.2,0,84.1,20,0,0,108.2,0,191.55,40,0,6.93,0,0,0,0,0,5.72,86.5,0
123.767,14.8,98.4,14.75,6.5,6.1,18.5,199,1213,1211,3,97,14.1,14.37,114,224.7,0.91,94.1,73.04,219,2617.9,2465.3,2570,30,0.8,100,99.9,1.5,1.5,1.5,1.5,1.5,1.5,362,178,28,24.6,-33.7,-32.8,50.2,0,6.8,-0.25,11.6,18.5,0,10.8,1,0,0,0,0,0,0,1108.8,0,84.1,20,0,0,119.2,0,190.95,40.67,0,6.82,0,0,0,0,0,5.72,86.1,0
123.893,14.8,98.4,14.79,8.3,7.9,18.5,198,1213,1211,3,97,13.4,13.88,127.5,218.9,0.92,107.6,68.17,219,2623.7,2465.3,2636,31,0.4,100,99.9,1.5,1.5,1.5,1.5,1.5,1.5,432,178,25.7,23.8,-33.2,-32.8,50.8,0,8.8,-0.28,9.61,18.5,0,10.8,1,0,0,0,0,0,0,1108.8,0,84.1,20,0,0,133.8,0,195.53,41.53,0,6.67,0,0,0,0,0,5.64,84.4,0
123.993,14.8,98.4,14.79,9.9,9.6,18.5,198,1213,1211,3,97,12.82,13.44,139.5,218.9,0.9,120.9,66.98,219,2565.6,2465.3,2705,32,0,100,99.9,2,2,2,2,2,2,490,178,26.4,23,-32.2,-32,51.6,0,10.4,-0.3,8,18.5,0,11.2,1,0,0,0,0,-3,0,1138.8,0,84.1,20,0,0,145,0,204.12,42.26,0,6.55,0,0,0,0,0,5.49,82.5,0
